place_of_svc_cd|place_of_svc_nm|place_of_svc_desc
71|PUBLIC HEALTH CLINIC|A FACILITY MAINTAINED BY EITHER STATE OR LOCAL HEALTH DEPARTMENTS THAT PROVIDES AMBULATORY PRIMARY MEDICAL CARE UNDER THE GENERAL DIRECTION OF A PHYSICIAN.
04|HOMELESS SHELTER|A FACILITY OR LOCATION WHOSE PRIMARY PURPOSE IS TO PROVIDE TEMPORARY HOUSING TO HOMELESS INDIVIDUALS (E.G., EMERGENCY SHELTERS, INDIVIDUAL OR FAMILY SHELTERS).
43|UNASSIGNED|UNASSIGNED
01|PHARMACY|A FACILITY OR LOCATION WHERE DRUGS AND OTHER MEDICALLY RELATED ITEMS AND SERVICES ARE SOLD, DISPENSED, OR OTHERWISE PROVIDED DIRECTLY TO PATIENTS.
40|UNASSIGNED|UNASSIGNED
92|UNASSIGNED|UNASSIGNED
78|UNASSIGNED|UNASSIGNED
81|INDEPENDENT LABORATORY|A LABORATORY CERTIFIED TO PERFORM DIAGNOSTIC AND/OR CLINICAL TESTS INDEPENDENT OF AN INSTITUTION OR A PHYSICIAN'S OFFICE.
41|AMBULANCE - LAND|A LAND VEHICLE SPECIFICALLY DESIGNED, EQUIPPED AND STAFFED FOR LIFESAVING AND TRANSPORTING THE SICK OR INJURED.
70|UNASSIGNED|UNASSIGNED
87|UNASSIGNED|UNASSIGNED
23|EMERGENCY ROOM - HOSPITAL|A PORTION OF A HOSPITAL WHERE EMERGENCY DIAGNOSIS AND TREATMENT OF ILLNESS OR INJURY IS PROVIDED.
89|UNASSIGNED|UNASSIGNED
12|HOME|LOCATION, OTHER THAN A HOSPITAL OR OTHER FACILITY, WHERE THE PATIENT RECEIVES CARE IN A PRIVATE RESIDENCE.
86|UNASSIGNED|UNASSIGNED
63|UNASSIGNED|UNASSIGNED
74|UNASSIGNED|UNASSIGNED
39|UNASSIGNED|UNASSIGNED
96|UNASSIGNED|UNASSIGNED
67|UNASSIGNED|UNASSIGNED
88|UNASSIGNED|UNASSIGNED
27|UNASSIGNED|UNASSIGNED
64|UNASSIGNED|UNASSIGNED
95|UNASSIGNED|UNASSIGNED
83|UNASSIGNED|UNASSIGNED
36|UNASSIGNED|UNASSIGNED
48|UNASSIGNED|UNASSIGNED
97|UNASSIGNED|UNASSIGNED
69|UNASSIGNED|UNASSIGNED
44|UNASSIGNED|UNASSIGNED
10|UNASSIGNED|UNASSIGNED
45|UNASSIGNED|UNASSIGNED
29|UNASSIGNED|UNASSIGNED
76|UNASSIGNED|UNASSIGNED
73|UNASSIGNED|UNASSIGNED
35|UNASSIGNED|UNASSIGNED
46|UNASSIGNED|UNASSIGNED
98|UNASSIGNED|UNASSIGNED
84|UNASSIGNED|UNASSIGNED
94|UNASSIGNED|UNASSIGNED
59|UNASSIGNED|UNASSIGNED
82|UNASSIGNED|UNASSIGNED
47|UNASSIGNED|UNASSIGNED
30|UNASSIGNED|UNASSIGNED
90|UNASSIGNED|UNASSIGNED
79|UNASSIGNED|UNASSIGNED
66|UNASSIGNED|UNASSIGNED
